CÓD,Origem,Ano,Categoria,Aeronave,Ocupante,PesoT,PesoV,PesoF,HP,Sw,Bw,Cmw,Sht,Svt,Sailer,Sprof,Sldirec,Sflap,Lfuse,Vcabine,Estrutura,Vstall,Vcruz,Vmáx,Alcance,Climb,Ddecol,Daterra,Teto,Afilamento,Perfil,Motor,Diedro,ttrem,Incidencia,Perfil (ponta),Tipoprop,Sweep
28,Brasil,1966,TRPB,Neiva Universal T-25,2,3740,2530,464.2,300,184.5,36,1,1,1,1,1,1,1,28.2,1,1,50,174,186,809,1050,1640,1640,20000,1,NACA 63A315,Lycoming IO-720 piston engine,1,retratil,1,NACA 63A212,p,1
29,Suiça,1944,TRPB,Pilatus P-2,2,4334,3003,501.6,465,183,36,1,1,1,1,1,1,1,29.8,1,1,55,200,210,950,1476,2618,1804,21654,1,NACA 64A?12,Argus As 410 A2,1,retratil,1,NACA 64A?12,p,1
30,Brasil,1990,TRP,K-51 Peregrino,2,1628,1100,1,160,118.5,27.9,,1,1,1,1,1,1,23.1,1,1,57,316,326,988,1400,1000,1000,26250,1,NACA 64A313 a.8,aa,1,fixo,1, NACA 64A212 mod,p,1
31,Suíca,1998,TRBA,Pilatus PC-21,2,6834,4960,1574,1600,122.6,28.7,5.6,38.5,27.8,11.2,15.7,11.04,22.78,36.71,1,1,92,301,426,887,4091,800,1150,38000,0.5,Na,Pratt & Whitney PT6A-68B turboprop,6,retratil,2,Na,tp,12
36,Coreia,1998,TRBA,KAI KT-1,2,7065,4210,1600,950,172.3,34.8,4.96,37.5,24,11.95,12.6,9.3,23.7,33.6,1,1,82,322,402,7620,3500,1620,2385,38000,0.5,Na,Pratt & Whitney PT6A-62 turboprop,3,retratil,2,Na,tp,4
37,Iran,2005,TRBA,IAMI HT-80,2,5940,3680,1100,700,175,34,5.3,31,21.5,12.42,13.43,9.7,14,32,1,1,52,239,276,1050,2840,1305,1805,25000,0.5,Na,Pratt & Whitney PT6-25C turboprop,3,retratil,2,Na,tp,2
38,Brasil,2008,TRBA,GA,2,6157,4095,1644,750,192.06,39.24,1.6,39.91,34,16,14,11.9,23.1,29,1,1,70,198,231,0,1720,2275,1767,25000,0.5,USA35B,Pratt & Whitney PT6-25C turboprop,3,retratil,2,Na,tp,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,TRB,Treinador Básico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,TRP,Treinador Primário,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,TRA,Treinador Avancado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,TRBA,Treinador basico Avancado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
